x y d_n=1 d_n=3
-1 -8 11.9401 12
-0.99 -7.8806 11.8207 11.8803
-0.98 -7.76239 11.7019 11.7612
-0.97 -7.64537 11.5837 11.6427
-0.96 -7.52954 11.4661 11.5248
-0.95 -7.41487 11.3491 11.4075
-0.94 -7.30138 11.2327 11.2908
-0.93 -7.18906 11.1169 11.1747
-0.92 -7.07789 11.0017 11.0592
-0.91 -6.96787 10.8871 10.9443
-0.9 -6.859 10.7731 10.83
-0.89 -6.75127 10.6597 10.7163
-0.88 -6.64467 10.5469 10.6032
-0.87 -6.5392 10.4347 10.4907
-0.86 -6.43486 10.3231 10.3788
-0.85 -6.33162 10.2121 10.2675
-0.84 -6.2295 10.1017 10.1568
-0.83 -6.12849 9.9919 10.0467
-0.82 -6.02857 9.8827 9.9372
-0.81 -5.92974 9.7741 9.8283
-0.8 -5.832 9.6661 9.72
-0.79 -5.73534 9.5587 9.6123
-0.78 -5.63975 9.4519 9.5052
-0.77 -5.54523 9.3457 9.3987
-0.76 -5.45178 9.2401 9.2928
-0.75 -5.35937 9.1351 9.1875
-0.74 -5.26802 9.0307 9.0828
-0.73 -5.17772 8.9269 8.9787
-0.72 -5.08845 8.8237 8.8752
-0.71 -5.00021 8.7211 8.7723
-0.7 -4.913 8.6191 8.67
-0.69 -4.82681 8.5177 8.5683
-0.68 -4.74163 8.4169 8.4672
-0.67 -4.65746 8.3167 8.3667
-0.66 -4.5743 8.2171 8.2668
-0.65 -4.49212 8.1181 8.1675
-0.64 -4.41094 8.0197 8.0688
-0.63 -4.33075 7.9219 7.9707
-0.62 -4.25153 7.8247 7.8732
-0.61 -4.17328 7.7281 7.7763
-0.6 -4.096 7.6321 7.68
-0.59 -4.01968 7.5367 7.5843
-0.58 -3.94431 7.4419 7.4892
-0.57 -3.86989 7.3477 7.3947
-0.56 -3.79642 7.2541 7.3008
-0.55 -3.72387 7.1611 7.2075
-0.54 -3.65226 7.0687 7.1148
-0.53 -3.58158 6.9769 7.0227
-0.52 -3.51181 6.8857 6.9312
-0.51 -3.44295 6.7951 6.8403
-0.5 -3.375 6.7051 6.75
-0.49 -3.30795 6.6157 6.6603
-0.48 -3.24179 6.5269 6.5712
-0.47 -3.17652 6.4387 6.4827
-0.46 -3.11214 6.3511 6.3948
-0.45 -3.04862 6.2641 6.3075
-0.44 -2.98598 6.1777 6.2208
-0.43 -2.92421 6.0919 6.1347
-0.42 -2.86329 6.0067 6.0492
-0.41 -2.80322 5.9221 5.9643
-0.4 -2.744 5.8381 5.88
-0.39 -2.68562 5.7547 5.7963
-0.38 -2.62807 5.6719 5.7132
-0.37 -2.57135 5.5897 5.6307
-0.36 -2.51546 5.5081 5.5488
-0.35 -2.46037 5.4271 5.4675
-0.34 -2.4061 5.3467 5.3868
-0.33 -2.35264 5.2669 5.3067
-0.32 -2.29997 5.1877 5.2272
-0.31 -2.24809 5.1091 5.1483
-0.3 -2.197 5.0311 5.07
-0.29 -2.14669 4.9537 4.9923
-0.28 -2.09715 4.8769 4.9152
-0.27 -2.04838 4.8007 4.8387
-0.26 -2.00038 4.7251 4.7628
-0.25 -1.95312 4.6501 4.6875
